"gene","LFC_diesel_only_wald","padj_diesel_only_wald","LFC_salinity_only_wald","padj_salinity_only_wald","LFC_diesel_added_wald","padj_diesel_added_wald","LFC_salinity_added_wald","padj_salinity_added_wald","LFC_interactive_only_wald","padj_interactive_only_wald","LFC_combined_wald","padj_combined_wald","LFC_diesel_only_LRT","padj_diesel_only_LRT","LFC_salinity_only_LRT","padj_salinity_only_LRT","LFC_full_model_LRT","padj.x","LFC_interactive_only_LRT","padj.y"
"evm.TU.utg4.1",-3.15096860182708e-05,0.999745842719034,0.506034319753994,0.330200388507829,0.225961802235504,0.61259085134843,1.24277286477189,0.0272577180624805,0.11433362627917,0.836582156575526,1.09514640382894,0.0476642306270104,-0.175458222506122,0.999103041487149,-0.564891252809871,0.505962514081068,0.973436939416687,0.0426036958478404,0.973436939416687,0.821983492387833
"evm.TU.utg4.3",-7.8541475310422e-05,0.999745842719034,0.25723434297875,0.654608163761717,-0.164965458107307,0.741481178238584,0.190672261020352,0.759231374625924,-0.0204289031494381,0.985273065843651,-0.0125603876363771,0.987210779752203,-0.359035097410494,0.999103041487149,0.490998374174568,0.619961882508629,-0.149051922609177,0.708265059546125,-0.149051922609177,0.98349356450165
"evm.TU.utg4.4",0.000123317401519533,0.999745842719034,0.152354411257603,0.80795721120943,0.682578620258152,0.088278522939694,0.901403674899572,0.0846261753891732,0.16822287881088,0.728698808447995,1.3320166277717,0.0114041215686479,0.539765473957541,0.999103041487149,0.275865416847712,0.780221096031487,1.11264265835341,0.0167369675913822,1.11264265835341,0.70944949107168
"evm.TU.utg4.5",-3.0583355267002e-05,0.999745842719034,-3.08713969691647,1.35198567096334e-05,0.24372096684123,0.557565506130797,-1.70164514053223,0.00653786548740995,0.116143906123015,0.808040348742049,-1.89659465625309,0.0028655506585388,-0.211457186714792,0.999103041487149,-3.94500486056861,0.00023612567747583,1.22501808231631,1.68981059519765e-05,1.22501808231631,0.789875406563251
"evm.TU.utg4.6",-0.000291165712570679,0.999745842719034,-0.310923690024229,0.51318318415115,0.4273616387212,0.275096263579647,0.76671369364156,0.0765451259662394,0.416564635913765,0.303898299596909,0.271333666325037,0.586252332096546,-0.624739814926555,0.999103041487149,-0.466186086575344,0.565191395419492,1.45016027585498,0.171024129512357,1.45016027585498,0.300748512255201
"evm.TU.utg4.7",-0.000218891561484376,0.999745842719034,-0.341473659928467,0.408452805030347,0.0673164191857344,0.913667896212309,0.00340876755679307,0.995021023028622,0.147471312456893,0.855593206940546,-0.260309214036954,0.558801853777145,-0.33205696603343,0.999103041487149,-0.460596076412375,0.461481185013695,0.455473450226766,0.71838218141099,0.455473450226766,0.841316457742894
"evm.TU.utg4.8",0.000108530183921924,0.999745842719034,-0.703359331641196,0.118002708693496,0.562530352828472,0.145244064985684,-0.113838664709665,0.850829377581025,0.179477199336729,0.745671972634865,0.099127115322836,0.87618725135251,0.338582148771598,0.999103041487149,-1.08330152536443,0.181251560080735,0.900060081157878,0.0930655259432481,0.900060081157878,0.72636704738518
"evm.TU.utg4.9",0.000205784510861253,0.999745842719034,0.853453592233126,0.0613740133307523,0.558961118418945,0.149806604908023,1.42150802072043,0.00408650529508244,0.107485111003385,0.887609271884438,2.10017675833034,4.40287171743699e-05,0.661347183402302,0.999103041487149,1.28613687837519,0.110044390051709,0.594705326321013,8.5617515657303e-05,0.594705326321013,0.87482497852928
"evm.TU.utg4.10",9.96715169396445e-05,0.999745842719034,1.94135038774755,0.000657738288489394,-0.122820411726871,0.819656961171938,1.09760476222888,0.0415810186719439,-0.119633758923313,0.837767715791716,1.51728286422973,0.00630026663168337,0.510319713066273,0.999103041487149,2.59183078798078,0.00807428397678245,-0.895367024402657,0.000377906215589208,-0.895367024402657,0.823117462985685
"evm.TU.utg4.11",0.00048312213574675,0.999745842719034,0.24400368696555,0.554489000983675,0.320062268634072,0.407897813888634,0.181898402417514,0.650541975932618,-0.0254554308681354,0.986514887187031,0.685760796801796,0.0476808449372966,0.569319025536891,0.999103041487149,0.299138020991091,0.562387590025318,-0.0694336971945466,0.145980409746632,-0.0694336971945466,0.984900177539023
