candidate_id	matched_de_id	direction	logfc	padj	minus_log10_padj
evm.utg1002.23	evm.TU.utg1002.23	down	-1.97809768482212	0.00082182499881778	3.08522065221568
utg10530.equina_smart_1626273.mrna1	utg10530.equina_smart_1626273.path1	down	-2.29514746447032	0.00012549215741747	3.90138341439603
evm.utg12341.2	evm.TU.utg12341.2	down	-1.01867159657032	0.0255611821574112	1.59241906473241
utg129.equina_smart_1766710.mrna10	utg129.equina_smart_1766710.path10	down	-1.17885103803371	0.0241374946858843	1.6173078088269
utg13.equina_smart_1584572.mrna11	utg13.equina_smart_1584572.path11	down	-2.64425655387366	4.77222029504053e-05	4.32127951665462
evm.utg13050.2	evm.TU.utg13050.2	down	-1.50246306104182	0.00795615079006591	2.0992969944424
evm.utg13730.6	evm.TU.utg13730.6	down	-1.37580009303919	0.00396063015964194	2.40223570976075
evm.utg13793.34	evm.TU.utg13793.34	down	-1.53681343719657	0.0101824743958168	1.99214667328905
utg1498.equina_smart_1471857.mrna2	utg1498.equina_smart_1471857.path2	down	-1.24575855238045	0.0214892711467574	1.66777831425771
evm.utg1517.19	evm.TU.utg1517.19	down	-1.89482895070872	0.00614321375289012	2.21160437315747
evm.utg152524.3	evm.TU.utg152524.3	up	1.66318746882696	0.00799594417877989	2.09713024643642
