candidate_id	matched_de_id	matched_candidate_column	contrast	direction	logfc	padj
utg14683.equina_smart_1029496.mrna1	utg14683.equina_smart_1029496.path1	gene_id	full_model_LRT	down	-1.10386237891427	0.00152684588155573
utg14923.equina_smart_1471264.mrna1	utg14923.equina_smart_1471264.path1	gene_id	combined_wald	up	1.21878732748339	0.00645076309737422
utg1498.equina_smart_1471857.mrna2	utg1498.equina_smart_1471857.path2	gene_id	diesel_added_wald	down	-1.24575855238045	0.0214892711467574
utg1498.equina_smart_1471857.mrna2	utg1498.equina_smart_1471857.path2	gene_id	combined_wald	down	-1.35368772536995	0.0317042202893979
utg1498.equina_smart_1471857.mrna2	utg1498.equina_smart_1471857.path2	gene_id	full_model_LRT	down	-3.29414920466705	0.0451712655854822
evm.utg1517.19	evm.TU.utg1517.19	gene_id	salinity_only_wald	up	7.34652550664421	2.80998453250889e-07
evm.utg1517.19	evm.TU.utg1517.19	gene_id	diesel_added_wald	down	-1.89482895070872	0.00614321375289012
evm.utg1517.19	evm.TU.utg1517.19	gene_id	salinity_only_LRT	up	8.99160767153703	3.82865827805509e-06
evm.utg1517.19	evm.TU.utg1517.19	gene_id	full_model_LRT	down	-7.04900525458622	3.32577572254629e-08
evm.utg152524.3	evm.TU.utg152524.3	gene_id	salinity_only_wald	down	-1.82100935881837	0.00281240364829949
evm.utg152524.3	evm.TU.utg152524.3	gene_id	diesel_added_wald	up	1.66318746882696	0.00799594417877989
evm.utg152524.3	evm.TU.utg152524.3	gene_id	salinity_only_LRT	down	-2.75023878670638	0.000917337342103815
evm.utg152524.3	evm.TU.utg152524.3	gene_id	full_model_LRT	up	3.30396259362215	0.00978781577249125
evm.utg1542.19	evm.TU.utg1542.19	gene_id	salinity_only_LRT	down	-1.51589788558951	0.0106122795767539
utg15427.equina_smart_1354595.mrna2	utg15427.equina_smart_1354595.path2	gene_id	salinity_added_wald	up	2.00439177473438	0.00528820727057185
utg15427.equina_smart_1354595.mrna2	utg15427.equina_smart_1354595.path2	gene_id	full_model_LRT	up	3.41461901707299	0.0238463378071824
evm.utg15629.5	evm.TU.utg15629.5	gene_id	salinity_added_wald	up	1.79165119873068	0.0028744491545528
evm.utg15629.5	evm.TU.utg15629.5	gene_id	combined_wald	up	1.38310818209615	0.0148556666470402
evm.utg15629.5	evm.TU.utg15629.5	gene_id	full_model_LRT	up	1.48472055291754	0.00422766932357298
evm.utg1575.43	evm.TU.utg1575.43	gene_id	diesel_added_wald	down	-1.52024605271212	0.00236655944327411
evm.utg1575.43	evm.TU.utg1575.43	gene_id	full_model_LRT	down	-1.17559315142857	4.05022278170342e-05
utg15813.evm.utg9623.7.mrna4	utg15813.evm.utg9623.7.path4	gene_id	salinity_added_wald	down	-1.30359210594945	0.0292019863331206
evm.utg15960.1	evm.TU.utg15960.1	gene_id	combined_wald	down	-1.0462491818966	0.026174529981249
evm.utg16027.2	evm.TU.utg16027.2	gene_id	salinity_added_wald	up	1.35433002035521	0.0115593925649457
evm.utg16027.2	evm.TU.utg16027.2	gene_id	combined_wald	up	1.43392566827478	0.00753665409561607
utg16036.equina_smart_269302.mrna1	utg16036.equina_smart_269302.path1	gene_id	salinity_added_wald	down	-1.393529127094	0.0136890714596575
utg16036.equina_smart_269302.mrna1	utg16036.equina_smart_269302.path1	gene_id	combined_wald	down	-1.14555626671268	0.0374571175285212
evm.utg16180.2	evm.TU.utg16180.2	gene_id	salinity_added_wald	up	1.0131316775054	0.0312356169707233
evm.utg1623.35	evm.TU.utg1623.35	gene_id	salinity_added_wald	up	1.74111620996642	0.012352692969657
evm.utg16443.24	evm.TU.utg16443.24	gene_id	combined_wald	down	-1.13955917299115	2.38530178510211e-05
evm.utg16444.17	evm.TU.utg16444.17	gene_id	salinity_only_wald	down	-2.07524913115391	6.2190244655804e-06
evm.utg16444.17	evm.TU.utg16444.17	gene_id	combined_wald	down	-1.12022483758363	0.0131586169075191
evm.utg16444.17	evm.TU.utg16444.17	gene_id	salinity_only_LRT	down	-2.42507545288834	0.000552071397707948
evm.utg16444.17	evm.TU.utg16444.17	gene_id	full_model_LRT	up	1.47098449020516	2.60757727109129e-05
evm.utg1648.51	evm.TU.utg1648.51	gene_id	salinity_added_wald	up	1.49208893449832	0.00416827150374315
evm.utg1648.51	evm.TU.utg1648.51	gene_id	combined_wald	up	1.2076010430912	0.0177543437617103
evm.utg1648.51	evm.TU.utg1648.51	gene_id	full_model_LRT	up	1.11751230588633	0.00617016531326612
evm.utg167.12	evm.TU.utg167.12	gene_id	salinity_added_wald	down	-1.2062784075211	0.0244463357010114
evm.utg1684.3	evm.TU.utg1684.3	gene_id	diesel_added_wald	down	-1.47573227974599	0.0147219378452798
evm.utg1684.3	evm.TU.utg1684.3	gene_id	combined_wald	down	-1.85486457423316	0.00770096750172848
evm.utg1684.3	evm.TU.utg1684.3	gene_id	full_model_LRT	down	-2.39824559373118	0.0219490474855628
evm.utg169038.2	evm.TU.utg169038.2	gene_id	salinity_only_wald	down	-1.04904208403554	0.0305052866000889
evm.utg169038.2	evm.TU.utg169038.2	gene_id	salinity_only_LRT	down	-1.63267763176822	0.0435082625145438
evm.utg17181.10	evm.TU.utg17181.10	gene_id	salinity_only_wald	down	-1.31646861963858	0.0230462110497042
evm.utg17212.4	evm.TU.utg17212.4	gene_id	salinity_only_wald	up	1.53663159249821	0.00712139661524019
evm.utg17212.4	evm.TU.utg17212.4	gene_id	salinity_added_wald	up	1.12231580671485	0.0425918429437339
evm.utg17212.4	evm.TU.utg17212.4	gene_id	combined_wald	up	1.70322954128033	0.00419103628739879
evm.utg17212.4	evm.TU.utg17212.4	gene_id	salinity_only_LRT	up	2.39161008181192	0.0337984459719533
utg17372.equina_smart_1811815.mrna1	utg17372.equina_smart_1811815.path1	gene_id	salinity_only_wald	up	3.81064410994257	3.3460279229009e-09
utg17372.equina_smart_1811815.mrna1	utg17372.equina_smart_1811815.path1	gene_id	salinity_added_wald	up	1.76593960177898	0.00249367836301237
utg17372.equina_smart_1811815.mrna1	utg17372.equina_smart_1811815.path1	gene_id	combined_wald	up	1.57742676281016	0.00539404444034236
utg17372.equina_smart_1811815.mrna1	utg17372.equina_smart_1811815.path1	gene_id	salinity_only_LRT	up	4.28972495320163	7.07611993062796e-08
